OrderID,OrderDate,CustomerID,Product,Quantity,UnitPrice,Region,SalesRep,ProductCategory,TotalAmount,Discount,DiscountAmount,NetAmount,Cost,Profit,OrderMonth,OrderYear,OrderQuarter
ORD-000001,2025-05-10,Customer_0229,Laptop Air,6,249.99,Middle East & Africa,Emma Brown,Laptops,1499.94,0.1,149.994,1349.9460000000001,1116.6548355585458,233.29116444145438,2025-05,2025,2025Q2
ORD-000002,2025-12-31,Customer_0171,Desktop Elite,17,99.99,Europe,Bob Martinez,Desktops,1699.83,0.15,254.97449999999998,1444.8555,985.0974433450109,459.758056654989,2025-12,2025,2025Q4
ORD-000003,2025-11-10,Customer_0295,SSD 1TB,17,599.99,Europe,Carol White,Components,10199.83,0.15,1529.9745,8669.8555,6415.341689233922,2254.5138107660778,2025-11,2025,2025Q4
ORD-000004,2023-05-02,Customer_0189,Headset Pro,14,99.99,North America,David Kim,Peripherals,1399.86,0.15,209.97899999999998,1189.8809999999999,956.0990675979419,233.78193240205792,2023-05,2023,2023Q2
ORD-000005,2024-04-11,Customer_0426,Laptop Air,18,399.99,North America,Alice Chen,Laptops,7199.82,0.15,1079.973,6119.847,4399.793810181309,1720.053189818691,2024-04,2024,2024Q2
ORD-000006,2023-11-27,Customer_0465,"Monitor 24""",5,499.99,Europe,Bob Martinez,Monitors,2499.95,0.1,249.995,2249.955,1508.4859985373703,741.4690014626296,2023-11,2023,2023Q4
ORD-000007,2023-03-29,Customer_0079,Laptop Pro,8,999.99,Asia Pacific,Carol White,Laptops,7999.92,0.1,799.9920000000001,7199.928,5701.924677189169,1498.0033228108305,2023-03,2023,2023Q1
ORD-000008,2025-05-21,Customer_0146,Laptop Air,7,149.99,Europe,Emma Brown,Laptops,1049.93,0.1,104.99300000000001,944.937,783.3272532037691,161.60974679623087,2025-05,2025,2025Q2
ORD-000009,2023-05-11,Customer_0407,"Monitor 27""",4,249.99,Europe,Emma Brown,Monitors,999.96,0.05,49.998000000000005,949.962,704.7324758228464,245.22952417715362,2023-05,2023,2023Q2
ORD-000010,2025-02-08,Customer_0182,CPU i9,18,199.99,Asia Pacific,Carol White,Components,3599.82,0.15,539.973,3059.847,2356.929316060541,702.917683939459,2025-02,2025,2025Q1
ORD-000011,2023-12-10,Customer_0499,Docking Station,5,799.99,Asia Pacific,Emma Brown,Peripherals,3999.95,0.1,399.995,3599.955,2553.9770604439323,1045.9779395560677,2023-12,2023,2023Q4
ORD-000012,2025-03-16,Customer_0286,Motherboard Z790,16,499.99,Asia Pacific,Carol White,Components,7999.84,0.15,1199.9759999999999,6799.8640000000005,5263.331084121527,1536.5329158784734,2025-03,2025,2025Q1
ORD-000013,2024-01-21,Customer_0250,Laptop Pro,14,149.99,North America,Bob Martinez,Laptops,2099.86,0.15,314.979,1784.881,1349.3027154071879,435.5782845928122,2024-01,2024,2024Q1
ORD-000014,2025-08-13,Customer_0354,SSD 1TB,19,399.99,Asia Pacific,Emma Brown,Components,7599.81,0.15,1139.9715,6459.8385,4944.266236568058,1515.5722634319418,2025-08,2025,2025Q3
ORD-000015,2023-10-04,Customer_0314,Mouse Ergonomic,14,799.99,Latin America,Bob Martinez,Peripherals,11199.86,0.15,1679.979,9519.881000000001,6615.652136500055,2904.228863499946,2023-10,2023,2023Q4
ORD-000016,2024-04-04,Customer_0196,"Monitor 24""",9,199.99,North America,David Kim,Monitors,1799.91,0.1,179.991,1619.919,1315.2813343962705,304.6376656037296,2024-04,2024,2024Q2
ORD-000017,2023-01-22,Customer_0323,Keyboard Wireless,6,399.99,Europe,David Kim,Peripherals,2399.94,0.1,239.99400000000003,2159.946,1682.1347463111504,477.81125368884955,2023-01,2023,2023Q1
ORD-000018,2023-09-10,Customer_0071,Webcam HD,17,199.99,Middle East & Africa,David Kim,Peripherals,3399.83,0.15,509.9745,2889.8555,2332.947994199018,556.9075058009821,2023-09,2023,2023Q3
ORD-000019,2025-01-17,Customer_0248,Graphics Card RTX,19,199.99,Europe,David Kim,Components,3799.8100000000004,0.15,569.9715,3229.8385000000003,2811.802380791703,418.03611920829735,2025-01,2025,2025Q1
ORD-000020,2025-05-06,Customer_0146,Keyboard Wireless,12,249.99,Europe,Emma Brown,Peripherals,2999.88,0.15,449.982,2549.898,1820.563773683737,729.3342263162631,2025-05,2025,2025Q2
ORD-000021,2024-04-19,Customer_0106,CPU i9,4,799.99,North America,Carol White,Components,3199.96,0.05,159.99800000000002,3039.962,1811.919373696626,1228.042626303374,2024-04,2024,2024Q2
ORD-000022,2025-12-18,Customer_0263,Laptop Air,16,599.99,Europe,Emma Brown,Laptops,9599.84,0.15,1439.9759999999999,8159.8640000000005,6866.071791445106,1293.7922085548944,2025-12,2025,2025Q4
ORD-000023,2024-05-25,Customer_0296,Laptop Pro,11,99.99,Europe,Emma Brown,Laptops,1099.8899999999999,0.15,164.98349999999996,934.9064999999999,824.5692668296357,110.33723317036424,2024-05,2024,2024Q2
ORD-000024,2024-11-30,Customer_0070,Webcam HD,4,99.99,North America,Bob Martinez,Peripherals,399.96,0.05,19.998,379.962,266.2479675821118,113.71403241788818,2024-11,2024,2024Q4
ORD-000025,2025-09-02,Customer_0470,Webcam HD,17,499.99,Europe,Carol White,Peripherals,8499.83,0.15,1274.9745,7224.8555,4774.88045993237,2449.9750400676294,2025-09,2025,2025Q3
ORD-000026,2023-07-09,Customer_0193,Headset Pro,8,199.99,North America,Alice Chen,Peripherals,1599.92,0.1,159.99200000000002,1439.928,1129.693285360939,310.23471463906117,2023-07,2023,2023Q3
ORD-000027,2025-08-15,Customer_0068,Keyboard Wireless,14,499.99,Asia Pacific,Alice Chen,Peripherals,6999.860000000001,0.15,1049.979,5949.881,3953.169603410811,1996.7113965891895,2025-08,2025,2025Q3
ORD-000028,2024-11-17,Customer_0494,RAM 32GB,2,799.99,Middle East & Africa,Carol White,Components,1599.98,0.05,79.99900000000001,1519.981,1052.791315547025,467.1896844529749,2024-11,2024,2024Q4
ORD-000029,2025-08-15,Customer_0305,Laptop Pro,11,199.99,Europe,Alice Chen,Laptops,2199.8900000000003,0.15,329.98350000000005,1869.9065000000003,1332.0476829381994,537.8588170618009,2025-08,2025,2025Q3
ORD-000030,2024-07-16,Customer_0052,CPU i9,11,199.99,Europe,Carol White,Components,2199.8900000000003,0.15,329.98350000000005,1869.9065000000003,1612.531152871481,257.37534712851925,2024-07,2024,2024Q3
ORD-000031,2025-04-11,Customer_0370,Headset Pro,6,149.99,Europe,Bob Martinez,Peripherals,899.94,0.1,89.99400000000001,809.946,576.2012024121483,233.74479758785174,2025-04,2025,2025Q2
ORD-000032,2024-10-08,Customer_0363,RAM 32GB,14,999.99,North America,Bob Martinez,Components,13999.86,0.15,2099.979,11899.881000000001,10215.595218766193,1684.285781233808,2024-10,2024,2024Q4
ORD-000033,2023-01-21,Customer_0285,Graphics Card RTX,10,99.99,Middle East & Africa,Emma Brown,Components,999.9,0.15,149.98499999999999,849.915,609.7552354292085,240.15976457079148,2023-01,2023,2023Q1
ORD-000034,2025-04-20,Customer_0405,Motherboard Z790,8,799.99,North America,Alice Chen,Components,6399.92,0.1,639.9920000000001,5759.928,4015.773909489989,1744.154090510011,2025-04,2025,2025Q2
ORD-000035,2023-06-16,Customer_0474,CPU i9,7,399.99,North America,Carol White,Components,2799.9300000000003,0.1,279.99300000000005,2519.9370000000004,2070.3349857497296,449.6020142502707,2023-06,2023,2023Q2
ORD-000036,2024-01-23,Customer_0334,Desktop Elite,8,399.99,Europe,Bob Martinez,Desktops,3199.92,0.1,319.992,2879.928,1888.7940275650321,991.1339724349677,2024-01,2024,2024Q1
ORD-000037,2024-08-23,Customer_0009,SSD 1TB,8,599.99,Asia Pacific,Emma Brown,Components,4799.92,0.1,479.992,4319.928,3195.307849566673,1124.6201504333267,2024-08,2024,2024Q3
ORD-000038,2023-11-12,Customer_0251,Keyboard Wireless,2,299.99,Europe,Alice Chen,Peripherals,599.98,0.05,29.999000000000002,569.981,376.6086853858991,193.3723146141009,2023-11,2023,2023Q4
ORD-000039,2023-01-14,Customer_0431,Docking Station,16,799.99,North America,Alice Chen,Peripherals,12799.84,0.15,1919.9759999999999,10879.864,9021.75445243562,1858.1095475643797,2023-01,2023,2023Q1
ORD-000040,2023-08-30,Customer_0332,Graphics Card RTX,9,299.99,Asia Pacific,Alice Chen,Components,2699.91,0.1,269.991,2429.919,1554.768213097852,875.150786902148,2023-08,2023,2023Q3
ORD-000041,2025-02-15,Customer_0298,Docking Station,13,149.99,Europe,Bob Martinez,Peripherals,1949.8700000000001,0.15,292.4805,1657.3895000000002,1242.9309703226268,414.45852967737346,2025-02,2025,2025Q1
ORD-000042,2024-07-18,Customer_0435,Motherboard Z790,12,399.99,North America,Bob Martinez,Components,4799.88,0.15,719.982,4079.898,3310.8925473884083,769.0054526115919,2024-07,2024,2024Q3
ORD-000043,2025-06-16,Customer_0184,SSD 1TB,17,799.99,Europe,Alice Chen,Components,13599.83,0.15,2039.9744999999998,11559.8555,8586.976820664764,2972.8786793352356,2025-06,2025,2025Q2
ORD-000044,2023-04-02,Customer_0179,RAM 32GB,2,199.99,North America,Bob Martinez,Components,399.98,0.05,19.999000000000002,379.981,224.67130501507305,155.30969498492695,2023-04,2023,2023Q2
ORD-000045,2025-08-13,Customer_0198,CPU i9,13,999.99,Europe,Alice Chen,Components,12999.87,0.15,1949.9805000000001,11049.889500000001,8983.2020465531,2066.6874534469007,2025-08,2025,2025Q3
ORD-000046,2024-05-23,Customer_0128,Motherboard Z790,1,249.99,Asia Pacific,David Kim,Components,249.99,0.05,12.499500000000001,237.4905,162.6534099875938,74.83709001240621,2024-05,2024,2024Q2
