OrderID,OrderDate,SupplierID,ProductID,QuantityOrdered,DeliveryStatus,Carrier,ExpectedDeliveryDate,ActualDeliveryDate,DaysDelayed,ShippingCost,SupplierName,Location,Rating,ContractType,ProductName,Category,ShelfLifeDays,StorageTemp,UnitCost,OrderValue,IsSeverelyDelayed
ORD-SC-00001,2024-07-13,SUP-003,PRD-0019,3622.0,Delivered,DHL Logistics,2024-07-14,2024-07-15,1.0,2092.27,Supplier_3,Benin City,A,Long-term,Lactose,Yogurt & Fermented,72,4-8°C,80.4,291208.80000000005,False
ORD-SC-00002,2024-10-28,SUP-025,PRD-0028,4054.0,Delayed,Swift Cargo,2024-10-31,2024-11-12,12.0,2312.89,Supplier_25,Kaduna,B,Long-term,White Chocolate,Yogurt & Fermented,258,4-8°C,496.68,2013540.72,True
ORD-SC-00003,2024-01-11,SUP-017,PRD-0026,2260.0,Delivered,Green Logistics,2024-01-15,2024-01-14,-1.0,1262.02,Supplier_17,Lagos,A,Long-term,Evaporated Milk,By-Products,142,Frozen,414.97,937832.2000000001,False
ORD-SC-00004,2024-05-16,SUP-010,PRD-0006,1365.0,Delivered,Green Logistics,2024-05-20,2024-05-21,1.0,1141.92,Supplier_10,Abuja,A,Long-term,Whole Milk Powder,Chocolate,307,4-8°C,125.55,171375.75,False
ORD-SC-00005,2024-10-08,SUP-014,PRD-0017,1881.0,Delayed,Cold Chain Express,2024-10-18,2024-10-30,12.0,1043.03,Supplier_14,Calabar,A,Short-term,Whey Powder,Chocolate,15,Room Temp,158.82,298740.42,True
ORD-SC-00006,2024-12-21,SUP-015,PRD-0016,1396.0,Delivered,FedEx Supply,2024-12-22,2024-12-21,-1.0,1189.84,Supplier_15,Kano,A,Trial,Cheese Cream,By-Products,84,Room Temp,417.8,583248.8,False
ORD-SC-00007,2024-11-17,SUP-001,PRD-0016,4975.0,Delayed,Swift Cargo,2024-11-24,2024-12-02,8.0,2749.01,Supplier_1,Port Harcourt,B,Short-term,Cheese Cream,By-Products,84,Room Temp,417.8,2078555.0,True
ORD-SC-00008,2025-06-03,SUP-014,PRD-0023,3501.0,Delivered,DHL Logistics,2025-06-05,2025-06-05,0.0,2250.29,Supplier_14,Calabar,A,Short-term,Kefir,Powdered Milk,83,Frozen,165.13,578120.13,False
ORD-SC-00009,2025-03-30,SUP-007,PRD-0001,1029.0,Delivered,Swift Cargo,2025-04-02,2025-04-03,1.0,738.94,Supplier_7,Benin City,B,Short-term,Raw Milk Grade A,Chocolate,356,4-8°C,371.84,382623.36,False
ORD-SC-00010,2024-08-13,SUP-003,PRD-0022,4456.0,Delivered,Local Transport,2024-08-14,2024-08-14,0.0,2447.83,Supplier_3,Benin City,A,Long-term,Probiotic Drink,By-Products,47,Room Temp,237.56,1058567.36,False
